custid,firstorder,lastorder,recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,conversion,retained,eopenrate,avg_order,paperless,city
SSX6YR,12/10/2009,12/10/2009,1,490.62,0,1,Rural,0,Web,No Offer,1,1,45.45454545,81.46,0,DEL
M5QRHK,23/07/2007,18/01/2010,11,29.99,1,0,Surburban,0,Web,No Offer,0,0,80,43.79,1,DEL
SBJLR6,02/06/2009,02/06/2009,1,405.1,1,0,Urban,0,Phone,Discount,0,0,100,51.39,0,MAA
B8HK8K,06/04/2007,13/01/2010,10,139.56,1,0,Surburban,1,Phone,No Offer,0,1,10.34482759,29.12,0,BOM
LZPTZL,03/01/2007,03/11/2009,4,118.06,0,1,Urban,0,Web,Buy One Get One,0,1,4.081632653,40.34,0,DEL
XPSVJ7,13/04/2005,12/01/2010,6,136.72,1,0,Surburban,1,Web,No Offer,1,0,37.5,50.56,0,DEL
MKRWFL,19/10/2009,19/10/2009,11,29.99,0,1,Surburban,1,Phone,Discount,0,1,7.317073171,96.13,0,MAA
SEFFX9,11/05/2009,15/01/2010,3,82.87,1,0,Rural,1,Phone,Discount,0,1,32.75862069,37.3,0,BOM
3376GS,03/04/2009,03/04/2009,9,36.55,0,1,Surburban,0,Web,No Offer,0,1,4.444444444,51.65,0,BOM
HDDWPL,20/02/2007,20/01/2009,10,29.99,1,0,Rural,0,Phone,Buy One Get One,0,0,0,130.25,0,DEL
ZKB3S4,16/06/2009,16/06/2009,10,196.61,0,1,Urban,0,Web,Discount,0,0,0,84.73,1,BLR
2ADV6D,25/02/2008,18/01/2010,4,348.53,0,1,Urban,0,Multichannel,No Offer,0,1,26.47058824,86.29,1,BOM
GAKAWN,01/05/2009,27/05/2009,12,76.9,0,1,Urban,0,Phone,No Offer,0,1,9.302325581,67.43,0,BOM
3ECQJP,19/07/2008,15/01/2010,11,207.05,1,1,Surburban,0,Multichannel,Buy One Get One,0,1,8.510638298,91.94,1,MAA
U9W8JE,21/04/2009,21/04/2009,8,109.21,1,0,Surburban,1,Phone,Buy One Get One,0,1,51.28205128,34.36,1,BOM
CX47BW,09/06/2006,10/08/2009,7,112.02,1,0,Surburban,1,Phone,Buy One Get One,1,0,0,82.02,0,DEL
JS2XLR,02/03/2009,02/03/2009,9,74,0,1,Surburban,0,Phone,Discount,0,1,0,89.36,0,DEL
52LUJH,15/05/2007,11/01/2009,6,32.72,1,0,Rural,1,Web,No Offer,0,1,85,77.27,0,BOM
7TJ3P5,21/07/2006,11/01/2010,5,29.99,0,1,Surburban,0,Web,No Offer,0,1,71.92982456,88.45,1,MAA
9A9E2Y,15/11/2007,22/07/2008,9,108.15,0,1,Rural,0,Phone,No Offer,0,1,82.85714286,185.21,0,DEL
XLFLUY,16/05/2007,07/12/2009,6,769.8,1,0,Urban,1,Phone,Discount,0,1,87.80487805,44.24,0,BOM
RJMLDJ,11/05/2009,11/05/2009,5,29.99,1,0,Surburban,0,Phone,Discount,0,0,26.66666667,47.45,0,MAA
FNGEEF,04/04/2009,04/04/2009,9,29.99,1,0,Surburban,1,Web,No Offer,0,1,11.36363636,49,0,MAA
ARAVZJ,21/10/2007,21/10/2007,10,31.46,1,0,Urban,1,Phone,Discount,0,1,63.88888889,51.11,0,BOM
QJQKQ9,17/11/2006,08/12/2006,3,88.95,1,0,Surburban,0,Phone,No Offer,0,0,0,20.39,0,BOM
FQSXEQ,08/03/2009,28/12/2009,12,174.3,0,1,Surburban,0,Phone,Buy One Get One,1,1,16.07142857,60.52,1,BOM
FLB6QB,01/08/2008,10/10/2008,3,602.75,1,0,Surburban,1,Multichannel,Buy One Get One,0,0,0,52.66,0,MAA
76JDGX,09/06/2009,16/12/2009,5,193.35,0,1,Rural,0,Phone,Buy One Get One,0,1,62.5,48.25,1,MAA
NF54E4,14/10/2007,22/04/2008,8,107.08,0,1,Surburban,0,Web,Discount,0,1,11.62790698,85.5,1,DEL
N4TWG6,26/06/2009,01/01/2010,6,98.47,1,0,Urban,1,Phone,No Offer,0,1,10,53.44,1,BOM
AMZLE6,23/10/2007,04/11/2009,3,478.95,1,0,Urban,0,Web,Buy One Get One,0,1,39.53488372,78.59,0,DEL
RKQJYE,08/05/2008,18/01/2010,6,50.73,0,1,Surburban,0,Web,No Offer,0,1,57.69230769,65.05,1,BOM
943MBT,17/06/2008,06/01/2009,9,45.76,0,1,Surburban,1,Web,Discount,0,1,11.36363636,83.13,0,DEL
ZTBEHR,21/05/2009,21/05/2009,11,94.23,0,1,Urban,0,Web,Discount,0,1,50,52.48,0,MAA
VFA6BL,26/04/2009,26/04/2009,9,29.99,0,1,Surburban,0,Phone,No Offer,0,0,0,41,0,MAA
W69N25,06/04/2007,21/12/2009,7,29.99,1,0,Urban,1,Phone,Discount,0,1,25,110.75,1,DEL
9W9VNC,03/03/2009,03/03/2009,11,550.53,1,0,Surburban,1,Multichannel,Buy One Get One,0,1,6.666666667,164.88,1,BLR
DEAS6U,15/11/2007,19/11/2008,5,448.13,1,1,Rural,0,Multichannel,Buy One Get One,0,1,59.45945946,78.89,0,DEL
5B7H3H,24/04/2008,15/04/2009,5,525.22,1,0,Urban,1,Web,Buy One Get One,0,1,2.173913043,53.86,0,BOM
L87687,04/02/2009,06/01/2010,7,315.13,1,1,Rural,0,Web,Discount,0,1,29.8245614,169.52,0,BOM
5EVF35,10/03/2009,10/05/2009,10,40.95,0,1,Surburban,0,Phone,Discount,0,1,57.89473684,47.18,0,BOM
BXA8YH,10/10/2007,22/04/2008,3,76.88,0,1,Urban,1,Phone,Buy One Get One,0,1,41.86046512,75.77,1,DEL
NSCF85,06/03/2007,14/01/2010,1,841.76,1,1,Surburban,1,Web,Buy One Get One,0,1,59.57446809,87.34,1,BOM
47BSSZ,21/03/2007,31/08/2007,8,58.42,1,0,Urban,0,Phone,Discount,0,0,0,69.28,0,BOM
77BP6H,27/04/2009,07/07/2009,4,102.07,0,1,Rural,1,Phone,Discount,0,1,11.11111111,46.63,0,MAA
JAMKPZ,26/01/2007,01/10/2009,8,499.69,0,1,Surburban,0,Web,Discount,1,1,53.84615385,106.89,1,DEL
FCPVC3,09/01/2009,29/01/2009,4,29.99,0,1,Surburban,1,Web,Buy One Get One,0,1,15.90909091,196.02,1,DEL
BG9UNP,28/03/2009,28/03/2009,12,101.53,1,0,Surburban,0,Web,No Offer,0,1,6.818181818,92.59,0,MAA
E9NYLF,09/09/2009,03/12/2009,8,78.67,1,0,Rural,0,Phone,No Offer,0,1,20,49.96,0,MAA
SMVGPE,27/01/2009,19/02/2009,2,1007.24,1,1,Rural,1,Web,No Offer,0,1,81.25,61.54,0,BOM
YSWUGG,24/09/2008,18/03/2009,9,69.26,1,0,Surburban,0,Phone,Discount,1,1,0,62.5,0,BOM
RHXN5G,18/12/2006,30/01/2008,12,221.14,0,1,Surburban,0,Phone,Discount,0,1,0,49.87,0,BOM
XWQWEU,08/04/2009,08/04/2009,3,611.63,0,1,Surburban,1,Multichannel,Discount,0,1,9.302325581,63.19,0,MAA
E4TTTF,03/03/2009,03/03/2009,7,29.99,0,1,Surburban,1,Web,Discount,0,1,2.222222222,25.29,1,BOM
NFZMCA,27/05/2008,20/07/2009,10,193.23,1,0,Surburban,0,Web,No Offer,0,0,0,73.87,0,BOM
84CQTN,10/11/2009,10/11/2009,10,240.36,0,1,Surburban,0,Phone,No Offer,0,1,30.76923077,96.41,0,BOM
GZSYS2,05/05/2009,05/05/2009,5,42.22,0,1,Rural,0,Web,No Offer,0,1,2.173913043,46.14,0,MAA
HQD8F6,29/04/2009,10/08/2009,3,49.76,0,1,Surburban,1,Phone,Discount,0,1,13.33333333,100.69,0,BOM
6F3YJE,30/06/2009,30/06/2009,7,29.99,0,1,Surburban,0,Web,Discount,0,1,100,51.25,1,DEL
JTHAYQ,06/05/2009,30/09/2009,6,415.38,1,0,Urban,0,Multichannel,No Offer,0,1,4.444444444,79.81,0,MAA
MDK3TW,19/01/2007,30/10/2009,2,321.83,0,1,Surburban,0,Multichannel,Discount,0,0,0,65.73,0,DEL
CSJ7NQ,19/10/2007,15/12/2009,8,217.06,1,0,Urban,0,Multichannel,No Offer,0,0,50,54.2,1,BOM
G2ZMTA,04/05/2009,04/05/2009,9,335.68,1,0,Surburban,0,Multichannel,Discount,0,1,6.060606061,48.46,0,BOM
8ZEBKV,12/02/2009,01/07/2009,6,250.11,0,1,Surburban,0,Phone,No Offer,1,0,79.31034483,173.08,0,DEL
P9X825,10/06/2009,19/01/2010,7,29.99,1,0,Surburban,0,Phone,No Offer,0,1,63.41463415,47.96,1,MAA
DUW635,10/01/2009,10/01/2009,11,111.58,0,1,Urban,1,Web,Discount,0,1,0,125.75,0,MAA
DAWCY4,16/07/2009,07/10/2009,7,111.43,1,0,Surburban,0,Web,No Offer,0,1,6.666666667,47.98,1,BOM
VDAEHP,15/06/2009,15/06/2009,2,52.31,1,0,Urban,1,Phone,Buy One Get One,1,1,12.24489796,106.7,1,MAA
4FHPLK,23/06/2009,11/12/2009,10,120.32,1,0,Surburban,0,Web,Discount,0,1,65.38461538,58.78,1,MAA
93QURX,07/04/2009,07/04/2009,9,72.55,1,0,Rural,0,Web,Discount,0,1,2.222222222,71.13,0,MAA
4SU4VB,07/04/2009,27/04/2009,4,108.7,0,1,Surburban,0,Phone,Discount,0,1,14.58333333,49.5,1,DEL
MDFW68,20/06/2009,20/06/2009,4,193.04,1,0,Urban,0,Web,Discount,0,1,96.77419355,90.82,1,MAA
6MSGFG,15/12/2007,29/05/2009,11,533.2,1,1,Urban,1,Multichannel,Buy One Get One,0,1,34.09090909,72.83,0,BOM
MWGEEU,05/12/2008,01/05/2009,9,154.71,1,0,Urban,0,Web,No Offer,0,1,4.347826087,73.87,0,DEL
9AVFHJ,01/05/2009,15/10/2009,1,135.62,0,1,Surburban,1,Web,No Offer,0,1,13.33333333,81.21,0,BOM
EWWSX3,19/07/2008,19/07/2008,9,400.01,1,0,Surburban,0,Web,Discount,0,0,0,35.45,0,MAA
6YATMM,15/09/2006,22/06/2009,3,220.3,1,0,Urban,0,Multichannel,Buy One Get One,0,1,0,59.81,0,DEL
BYCEY3,26/05/2009,22/09/2009,1,338.79,1,1,Urban,0,Web,Discount,1,1,6.25,56.99,1,DEL
CN7R6K,18/09/2009,18/09/2009,10,29.99,0,1,Rural,0,Phone,Buy One Get One,1,1,17.64705882,40.02,0,BOM
AMBLXV,06/11/2008,23/03/2009,10,76.74,1,0,Surburban,0,Web,Buy One Get One,0,0,0,54.38,0,BLR
ZNQJJ8,19/05/2009,24/08/2009,1,29.99,0,1,Surburban,1,Web,Discount,0,0,0,157.45,1,DEL
HLAV6V,08/08/2008,07/02/2009,10,187.68,1,0,Urban,1,Phone,Buy One Get One,0,1,2.702702703,49.14,0,MAA
UBFHF2,24/10/2008,03/05/2009,2,1065.6,1,1,Urban,1,Phone,No Offer,1,1,10.86956522,112.17,0,DEL
SGK97W,17/07/2009,14/08/2009,8,126.55,1,0,Urban,0,Phone,No Offer,0,1,32.5,45.07,0,BOM
ABZN24,03/06/2009,03/06/2009,4,301.02,0,1,Surburban,0,Phone,Buy One Get One,0,1,0,91.75,1,MAA
4QK4AN,18/11/2008,03/12/2008,4,160.52,0,1,Rural,0,Web,Buy One Get One,0,0,0,34.88,0,BOM
2VEX9X,02/06/2009,07/07/2009,9,341.62,1,0,Surburban,0,Multichannel,Discount,0,1,12.82051282,73.43,0,BLR
QLAY4D,27/06/2009,27/06/2009,3,161.65,0,1,Surburban,0,Web,Discount,0,0,0,52.43,1,MAA
VP7WYL,19/06/2009,19/06/2009,3,173.87,0,1,Urban,1,Web,No Offer,0,0,0,101.73,1,MAA
9TQCYQ,19/07/2008,21/09/2009,3,50.47,1,0,Rural,1,Phone,Discount,0,1,19.56521739,78.79,1,MAA
CJVDHR,19/02/2009,10/06/2009,10,175.09,0,1,Urban,0,Phone,Buy One Get One,0,1,11.62790698,54.79,0,BOM
BHM77M,10/07/2009,10/07/2009,9,29.99,1,0,Surburban,0,Phone,Discount,0,0,0,65.56,1,MAA
NWSVB7,27/05/2009,27/05/2009,4,29.99,0,1,Urban,0,Web,Buy One Get One,0,1,47.05882353,50.34,1,BLR
A4RJ9P,02/06/2008,16/03/2009,2,260.96,0,1,Urban,1,Phone,No Offer,0,0,0,137.53,0,BOM
2J8LRR,09/02/2009,07/10/2009,3,29.99,0,1,Urban,0,Web,No Offer,0,1,18.60465116,52.63,1,MAA
QV7HG6,26/02/2009,26/02/2009,4,656.92,1,1,Surburban,1,Multichannel,Discount,0,1,2.222222222,49.98,0,BOM
F7EGAT,16/06/2009,16/06/2009,11,158.19,1,0,Urban,0,Web,Discount,0,1,0,91.61,1,BLR
HZC756,26/03/2007,02/06/2007,4,529.82,0,1,Surburban,1,Phone,No Offer,0,1,9.090909091,145.57,0,DEL
GTHYPX,29/04/2009,29/04/2009,3,95.16,1,0,Urban,0,Phone,No Offer,0,0,0,32.69,0,BOM
RW86WY,27/04/2009,27/04/2009,10,123.08,1,0,Urban,0,Phone,Buy One Get One,0,1,2.173913043,70.23,0,MAA
A2VW4A,19/01/2009,05/08/2009,9,32.58,1,0,Surburban,0,Web,No Offer,0,1,12.5,135.29,0,MAA
2JHBE9,05/09/2007,16/01/2010,1,593.73,1,0,Surburban,1,Phone,Discount,0,1,28,135.03,0,BOM
NLRUPY,03/09/2009,03/09/2009,12,230.65,1,1,Surburban,1,Phone,Buy One Get One,1,1,37.03703704,94.55,0,BOM
WR5G6H,07/07/2009,11/01/2010,4,99.27,0,1,Urban,1,Web,Buy One Get One,0,1,94.11764706,100.37,0,BOM
ZHXRSU,07/03/2008,25/11/2009,1,1101.04,0,1,Surburban,1,Phone,No Offer,0,1,84.84848485,186.17,1,BOM
LQ86T3,21/11/2007,19/05/2009,3,300.9,0,1,Urban,1,Phone,No Offer,0,0,0,76.64,0,DEL
HJDTL8,04/03/2009,11/09/2009,2,344.7,0,1,Surburban,0,Multichannel,Buy One Get One,0,1,8.510638298,48.7,0,MAA
5ZC7DE,10/11/2008,09/01/2009,4,60.69,1,0,Urban,0,Phone,Buy One Get One,0,1,4.255319149,98.15,0,MAA
7SFXKK,18/01/2010,18/01/2010,1,134.5,0,1,Urban,0,Phone,Buy One Get One,1,1,30.76923077,87.68,0,BLR
XCCAQ8,23/07/2008,02/07/2009,1,366.59,1,1,Surburban,0,Phone,Discount,1,1,34.14634146,50.21,1,MAA
MMLN9Z,15/04/2009,02/11/2009,9,256.59,1,1,Urban,1,Web,Discount,0,1,30.43478261,111.69,0,DEL
8GV4RX,29/08/2008,04/02/2009,5,185.98,0,1,Surburban,1,Phone,Discount,0,1,21.73913043,9.84,1,BOM
Q29G9,09/05/2007,19/01/2010,9,43.28,1,0,Urban,0,Phone,Buy One Get One,0,1,6.52173913,71.95,1,DEL
MJGET6,30/06/2009,30/06/2009,3,75.95,0,1,Surburban,1,Phone,Buy One Get One,0,1,2.222222222,124.98,0,MAA
EJ8FEW,29/07/2007,03/02/2009,4,103.77,0,1,Surburban,1,Phone,Buy One Get One,0,1,0,39.76,0,BOM
C7JGAH,21/10/2005,10/02/2009,1,29.99,0,1,Urban,0,Web,Buy One Get One,0,1,9.090909091,79.52,0,DEL
XF2P97,16/08/2008,07/12/2009,4,29.99,0,1,Urban,0,Phone,No Offer,0,1,29.41176471,78.74,1,BOM
XL8P5W,23/03/2008,15/01/2010,6,29.99,0,1,Surburban,1,Web,Discount,0,1,44.06779661,98.56,0,BOM
47G998,09/05/2009,09/11/2009,4,29.99,1,0,Surburban,1,Phone,Buy One Get One,0,1,12.5,54.7,0,BLR
5KXGRJ,24/02/2009,04/05/2009,1,242.86,0,1,Surburban,1,Web,Buy One Get One,0,1,41.46341463,91.2,0,DEL
BNAUUQ,29/05/2009,12/06/2009,4,138.96,0,1,Surburban,0,Phone,No Offer,0,1,4.545454545,64.84,1,BOM
KDKJ7E,09/10/2006,19/02/2009,11,39.97,0,1,Surburban,1,Phone,No Offer,0,0,0,66.56,0,DEL
M9Y89W,11/04/2006,02/06/2009,8,58.47,0,1,Surburban,1,Phone,Buy One Get One,0,1,18.18181818,88.64,0,DEL
5ZBT5Q,25/07/2008,13/12/2009,6,636.52,0,1,Urban,1,Web,Buy One Get One,0,0,33.33333333,92.51,1,MAA
GKJJMA,21/02/2009,12/05/2009,11,255.4,1,0,Rural,1,Web,Buy One Get One,0,1,65,75.57,0,DEL
X9FZ6V,22/06/2009,22/06/2009,8,144.84,0,1,Surburban,0,Web,No Offer,1,1,0,90.36,1,MAA
FWMQQW,15/03/2009,18/01/2010,11,34.67,1,0,Urban,0,Phone,No Offer,0,1,32.8125,58.74,0,MAA
LYH66J,18/05/2009,09/11/2009,9,52.06,0,1,Surburban,1,Web,Buy One Get One,0,1,31.81818182,92.22,1,DEL
NAWTDM,06/04/2009,06/04/2009,6,103.38,0,1,Urban,1,Web,Buy One Get One,0,1,41.02564103,93.98,0,MAA
ACWLTP,10/09/2008,01/02/2009,4,51.94,0,1,Urban,1,Phone,Buy One Get One,0,0,0,29.16,0,MAA
U8BXQ2,15/06/2009,15/06/2009,12,565.15,1,0,Surburban,1,Multichannel,Buy One Get One,0,1,50,122.24,1,DEL
SSGZV9,24/02/2009,24/02/2009,11,71.67,0,1,Urban,0,Phone,Buy One Get One,0,1,10.86956522,74.26,0,BOM
HX4527,06/07/2006,15/12/2009,5,77.3,1,0,Urban,1,Web,Discount,0,1,34.54545455,51.99,0,DEL
6CNRE2,17/04/2009,17/04/2009,2,680.43,1,0,Rural,1,Multichannel,No Offer,1,1,0,56.9,0,BOM
9QZAVW,15/06/2009,18/01/2010,7,779.71,1,1,Surburban,1,Web,Discount,1,1,46.03174603,106.86,0,DEL
87NLJV,20/06/2009,20/06/2009,5,312.66,0,1,Surburban,0,Phone,Discount,0,1,56.09756098,122.95,0,BLR
5R4T7G,14/01/2009,17/08/2009,9,166.32,1,0,Surburban,1,Web,Discount,0,1,25,85.73,1,BOM
JEPECK,01/04/2009,01/04/2009,10,95.14,1,0,Surburban,0,Phone,Discount,1,1,0,95.66,1,BOM
UTR2L3,06/07/2009,05/10/2009,4,29.99,1,0,Urban,1,Phone,Buy One Get One,0,0,0,49.04,0,DEL
Z6NUT3,03/03/2009,03/03/2009,2,333.47,1,1,Urban,1,Web,Discount,0,1,23.25581395,40,0,MAA
MXH4YX,02/06/2008,13/07/2009,9,200.25,1,0,Surburban,0,Web,No Offer,0,1,4.166666667,67.31,0,BOM
B26492,08/07/2009,08/07/2009,10,185.01,0,1,Urban,1,Phone,Buy One Get One,0,1,71.42857143,17.79,1,BOM
6SDJXP,21/06/2007,04/08/2009,5,75.83,1,0,Surburban,0,Web,Discount,0,1,13.33333333,42.62,1,DEL
Q6EUAA,18/06/2009,22/10/2009,6,29.99,1,0,Urban,1,Phone,Buy One Get One,0,1,2.127659574,57.2,0,MAA
7ZXB8G,01/07/2008,06/01/2010,10,82.15,0,1,Urban,1,Phone,No Offer,0,1,1.851851852,78.13,1,BOM
4M8N87,12/04/2009,09/12/2009,3,31.11,0,1,Rural,0,Web,No Offer,1,1,14.28571429,95,0,DEL
8FVAWP,27/08/2008,24/08/2009,10,289.05,0,1,Urban,1,Web,No Offer,0,1,65.38461538,32.39,0,MAA
M74DVY,16/01/2008,03/12/2009,3,234.8,1,0,Urban,0,Web,Buy One Get One,0,1,90.24390244,57.45,1,DEL
K7ZWWS,24/06/2009,03/07/2009,9,199.16,1,0,Surburban,0,Phone,No Offer,1,1,90,48.83,1,DEL
B9Q4WA,03/01/2008,31/12/2009,8,105.98,0,1,Rural,1,Phone,No Offer,0,1,84.44444444,83.08,1,MAA
9X2RCY,25/05/2009,25/05/2009,11,108.98,1,0,Surburban,0,Phone,No Offer,0,1,25,54.34,1,BOM
3TP9X8,16/11/2006,16/11/2006,1,106.61,0,1,Surburban,1,Web,No Offer,1,1,73.52941176,70.66,0,DEL
GX2GUK,25/02/2009,19/08/2009,10,158.62,1,0,Urban,0,Web,Discount,0,0,0,103.91,1,DEL
KNGW3T,18/05/2009,09/11/2009,7,150.36,0,1,Urban,0,Phone,Buy One Get One,1,1,14.28571429,49.37,0,BOM
DBNQSD,21/06/2009,07/10/2009,6,246,0,1,Urban,1,Phone,Buy One Get One,0,1,20,59.1,1,MAA
8YU9TZ,15/08/2008,23/03/2009,12,248.49,1,0,Surburban,0,Web,No Offer,0,1,28.125,63.59,0,MAA
S8TY4S,19/10/2009,19/10/2009,2,56.74,1,0,Surburban,1,Web,No Offer,0,1,42.42424242,111.5,1,BLR
XQZDF9,08/08/2008,06/02/2009,6,29.99,0,1,Urban,1,Web,Buy One Get One,0,1,10.81081081,63.03,0,MAA
7533SS,08/10/2007,22/04/2009,10,326.47,1,1,Urban,0,Phone,No Offer,0,0,0,176.68,1,DEL
UE7JC4,28/08/2007,10/03/2009,2,1238.32,1,1,Urban,1,Multichannel,No Offer,0,1,2.127659574,73.1,0,DEL
RE49PE,03/03/2009,04/08/2009,7,47.53,1,0,Surburban,1,Phone,No Offer,0,1,18.75,93.76,0,MAA
D9B9D6,07/04/2009,07/04/2009,2,129.73,1,0,Surburban,0,Web,Discount,0,1,2.222222222,52.78,0,DEL
P72YT6,22/09/2009,28/10/2009,2,776.69,0,1,Urban,1,Web,No Offer,0,0,38.46153846,34.82,1,DEL
RTMW6W,01/01/2010,01/01/2010,5,571.23,0,1,Urban,1,Web,No Offer,0,0,75,40,0,MAA
XP5MU3,02/04/2009,02/04/2009,4,427.21,1,0,Urban,1,Phone,No Offer,0,1,36.84210526,54.32,0,DEL
V8LPZ8,19/06/2009,19/06/2009,1,197.59,1,0,Surburban,0,Phone,Discount,0,1,0,104.22,1,BLR
ZNUGJC,31/05/2009,31/05/2009,8,36.65,1,0,Surburban,1,Web,No Offer,0,0,0,53.01,0,MAA
PNGWEM,22/04/2008,09/09/2008,4,62.41,1,0,Urban,0,Web,Buy One Get One,0,1,0,49.03,0,BOM
Y32SDN,05/01/2010,05/01/2010,1,66.12,0,1,Surburban,1,Web,Buy One Get One,1,1,15.55555556,66,0,MAA
DQV4FZ,15/10/2009,15/10/2009,8,223.73,0,1,Urban,0,Multichannel,No Offer,1,1,12.5,54.28,0,BOM
UZFWML,30/03/2009,30/03/2009,4,230.37,0,1,Urban,0,Web,Discount,0,0,0,46.78,0,BOM
G8FD86,03/03/2009,03/03/2009,1,49.52,1,0,Surburban,0,Phone,No Offer,0,0,0,49.48,0,MAA
7TYHZQ,17/05/2007,23/10/2007,2,29.99,1,0,Surburban,0,Web,Buy One Get One,1,1,14.63414634,53.22,0,DEL
YBTUSP,03/04/2009,03/04/2009,11,129.35,0,1,Rural,0,Phone,Buy One Get One,0,1,39.47368421,126.89,0,BLR
KWWVM3,17/06/2009,17/06/2009,11,65.07,0,1,Surburban,1,Web,No Offer,0,1,77.14285714,101.8,1,MAA
738XZB,30/01/2007,30/01/2007,10,419.22,1,1,Urban,0,Phone,Discount,0,1,63.63636364,68.41,0,DEL
FTUC5Y,21/06/2009,01/12/2009,5,101.01,1,0,Surburban,0,Web,No Offer,0,1,26.82926829,66.8,1,BLR
WW3V45,09/12/2008,23/01/2009,2,510.18,1,1,Urban,1,Web,Discount,0,1,2.222222222,83.63,0,DEL
FUUJB6,21/08/2009,15/01/2010,2,482.14,0,1,Surburban,0,Multichannel,No Offer,0,1,84.84848485,77.05,1,MAA
RZT2MU,26/04/2009,26/04/2009,5,676.24,1,1,Urban,1,Web,No Offer,0,0,0,45,0,MAA
EYQEMY,27/05/2009,27/05/2009,1,611.91,1,1,Rural,1,Phone,Discount,1,1,2.083333333,89.59,1,BLR
CDFMKL,25/06/2009,04/01/2010,6,117.9,1,0,Surburban,1,Phone,Buy One Get One,0,1,54.45544554,224.3,1,BOM
ZYPF4D,17/10/2008,15/11/2008,5,29.99,1,0,Surburban,1,Phone,Buy One Get One,0,0,20,73.28,1,BLR
2AT587,19/10/2007,14/01/2010,2,208.47,1,0,Rural,1,Phone,No Offer,0,1,56.89655172,73.24,1,DEL
U95GHY,14/03/2009,27/08/2009,4,478.8,1,0,Surburban,0,Web,No Offer,0,1,4.255319149,52.27,1,MAA
HM3RAK,19/07/2008,13/01/2010,7,50.8,1,0,Urban,0,Web,No Offer,1,1,72.97297297,76.8,1,MAA
KYYF8C,29/06/2009,29/06/2009,11,29.99,0,1,Surburban,0,Phone,Buy One Get One,0,1,26.31578947,28.76,1,DEL
2M95XK,16/03/2009,18/01/2010,12,308.44,0,1,Surburban,1,Web,Discount,0,1,68,56.83,1,DEL
F5TKBP,04/06/2009,04/06/2009,10,378.94,0,1,Surburban,0,Phone,No Offer,0,0,36.36363636,84.84,1,MAA
Q5CDGT,06/05/2009,18/09/2009,1,29.99,0,1,Urban,0,Phone,No Offer,0,1,13.95348837,54.49,0,MAA
3X875W,17/02/2009,14/04/2009,3,50.89,1,0,Urban,1,Web,Buy One Get One,0,1,2.222222222,71.05,0,BOM
5AXGGQ,14/04/2008,18/01/2010,5,169.07,0,1,Surburban,0,Web,No Offer,1,1,76.47058824,168.37,1,BOM
BE7DUD,02/11/2007,02/11/2007,5,276.02,1,0,Rural,0,Phone,No Offer,0,1,2.272727273,150.2,0,DEL
H7FFF8,31/05/2009,31/05/2009,3,95.86,0,1,Rural,1,Web,Buy One Get One,0,1,4.651162791,71.82,1,MAA
9SU82W,08/05/2009,08/05/2009,8,115.67,1,0,Surburban,1,Phone,Buy One Get One,0,0,0,45,0,BLR
TXUFWU,23/07/2008,20/12/2009,2,29.99,0,1,Urban,1,Web,Discount,1,1,39.28571429,78.39,1,MAA
EB2EFM,17/07/2009,17/07/2009,10,105.4,1,0,Surburban,0,Web,No Offer,0,1,25.80645161,71.59,0,BOM
E8NDC7,13/04/2009,13/04/2009,12,30.37,1,0,Rural,1,Phone,No Offer,0,1,4.651162791,90.24,0,DEL
ZJGA38,20/07/2009,20/07/2009,11,114.61,1,0,Urban,0,Phone,Discount,0,1,16.27906977,68.05,1,DEL
A3PSHZ,27/10/2009,06/01/2010,5,80.6,0,1,Surburban,1,Web,No Offer,0,1,100,94.46,1,DEL
3KMLQZ,30/08/2007,01/08/2008,3,981.42,0,1,Urban,1,Phone,Discount,0,0,0,34.66,1,BOM
RPLAXM,23/07/2008,20/04/2009,3,101.67,0,1,Surburban,1,Phone,Discount,0,1,4.545454545,60,0,MAA
YR6CL7,25/08/2008,01/10/2009,7,188.94,1,0,Surburban,1,Web,Discount,0,1,23.80952381,48.53,1,DEL
SA7RSQ,10/06/2009,12/11/2009,9,353.34,0,1,Surburban,1,Web,No Offer,0,0,20,57.21,1,BOM
AMAV83,26/06/2009,26/06/2009,1,808.58,1,1,Surburban,1,Web,Discount,0,1,9.090909091,27.49,1,BOM
A2FHHK,07/08/2007,18/01/2010,3,804.23,1,1,Urban,1,Multichannel,Buy One Get One,0,1,66.66666667,57.44,0,DEL
QXZWPL,18/06/2009,22/12/2009,7,180.13,1,0,Surburban,0,Web,No Offer,0,0,100,203.55,1,BOM
NV4679,19/05/2009,06/06/2009,10,116.06,0,1,Urban,0,Phone,Buy One Get One,0,1,78.37837838,100.79,1,BOM
9FQ8SH,13/01/2009,05/02/2009,3,115.04,1,0,Urban,1,Phone,Discount,0,1,73.68421053,83.47,1,BOM
7P6NK9,14/05/2009,14/05/2009,4,183.57,1,0,Surburban,1,Web,Discount,0,1,85.29411765,59.08,0,DEL
S6Z3YY,02/09/2008,06/02/2009,2,171.5,1,0,Rural,1,Web,No Offer,0,1,16.66666667,64.58,1,MAA
8VL6LD,09/03/2009,09/03/2009,1,180.41,1,0,Urban,1,Web,Discount,0,1,2.272727273,102.65,0,DEL
CAXAT5,24/05/2007,08/04/2009,3,922.47,1,1,Urban,1,Multichannel,Buy One Get One,0,1,28.94736842,50.45,0,DEL
